Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
6875163,"Traición (Los feos, #1)",Scott Westerfeld,"Westerfeld, Scott",Nieves Nueno Cobas,"=""9509080683""","=""9789509080683""",0,3.85,Montena,Paperback,437,2008,2005,,2019/10/23,to-read,to-read (#44),to-read,,,,0,,,0,,,,,
44232055,Una habitación propia,Virginia Woolf,"Woolf, Virginia",,"=""""","=""""",0,4.18,Seix Barral,Kindle Edition,252,2019,1929,,2019/10/23,to-read,to-read (#43),to-read,,,,0,,,0,,,,,
45857422,"Una magia más oscura (Sombras de magia, #1)",V.E. Schwab,"Schwab, V.E.",Julieta Gorlero,"=""8445006010""","=""9788445006016""",0,4.06,Minotauro,Paperback,399,2019,2015,,2019/10/21,to-read,to-read (#42),to-read,,,,0,,,0,,,,,
44284989,"La Red Púrpura (Elena Blanco, #2)",Carmen Mola,"Mola, Carmen",,"=""8420435570""","=""9788420435572""",4,4.27,Alfaguara,Paperback,432,2019,2019,2019/10/18,2019/09/07,2019,2019 (#25),read,,,,1,,,0,,,,,
46145390,Ciudad de mujeres,Elizabeth Gilbert,"Gilbert, Elizabeth",,"=""1644730960""","=""9781644730966""",0,4.04,Suma,Paperback,552,2019,2019,,2019/10/18,to-read,to-read (#37),to-read,,,,0,,,0,,,,,
43307093,"A la caza de Jack el destripador (Stalking Jack the Ripper, #1)",Kerri Maniscalco,"Maniscalco, Kerri",María Celina Rojas,"=""8492918284""","=""9788492918287""",0,3.98,Puck,Paperback,352,2019,2016,,2019/10/15,to-read,to-read (#36),to-read,,,,0,,,0,,,,,
45479337,"A la caza del Príncipe Drácula (A la caza de Jack el destripador, #2)",Kerri Maniscalco,"Maniscalco, Kerri",María Celina Rojas,"=""8492918659""","=""9788492918652""",0,4.25,Urano,Paperback,480,2019,2017,,2019/10/15,to-read,to-read (#35),to-read,,,,0,,,0,,,,,
2188353,"El valle de los lobos (Crónicas de la Torre, #1)",Laura Gallego García,"García, Laura Gallego",,"=""8467508892""","=""9788467508895""",5,4.07,SM,Hardcover,317,2006,2000,2019/10/10,2019/10/04,2019,2019 (#24),read,,,,1,,,0,,,,,
17306314,Nijigahara Holograph,Inio Asano,"Asano, Inio",Matt Thorn,"=""1606995839""","=""9781606995839""",1,3.72,Fantagraphics,Hardcover,300,2014,2006,,2019/07/30,2019,2019 (#14),read,,,,1,,,0,,,,,
37804539,Invisible,Eloy Moreno,"Moreno, Eloy",,"=""8416588430""","=""9788416588435""",5,4.48,Nube de tinta,Paperback,296,2018,2020,2019/10/04,2019/10/02,2019,2019 (#20),read,,,,1,,,0,,,,,
